HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
Leicester,Tottenham,2,1,H,E0_2019.csv
Burnley,Norwich,2,0,H,E0_2019.csv
Everton,Sheffield United,0,2,A,E0_2019.csv
Man City,Watford,8,0,H,E0_2019.csv
Newcastle,Brighton,0,0,D,E0_2019.csv
Crystal Palace,Wolves,1,1,D,E0_2019.csv
West Ham,Man United,2,0,H,E0_2019.csv
Arsenal,Aston Villa,3,2,H,E0_2019.csv
Chelsea,Liverpool,1,2,A,E0_2019.csv
Sheffield United,Liverpool,0,1,A,E0_2019.csv
Aston Villa,Burnley,2,2,D,E0_2019.csv
Bournemouth,West Ham,2,2,D,E0_2019.csv
Chelsea,Brighton,2,0,H,E0_2019.csv
Crystal Palace,Norwich,2,0,H,E0_2019.csv
Tottenham,Southampton,2,1,H,E0_2019.csv
Wolves,Watford,2,0,H,E0_2019.csv
Everton,Man City,1,3,A,E0_2019.csv
Leicester,Newcastle,5,0,H,E0_2019.csv
Man United,Arsenal,1,1,D,E0_2019.csv
Brighton,Tottenham,3,0,H,E0_2019.csv
Burnley,Everton,1,0,H,E0_2019.csv
Liverpool,Leicester,2,1,H,E0_2019.csv
Norwich,Aston Villa,1,5,A,E0_2019.csv
Watford,Sheffield United,0,0,D,E0_2019.csv
West Ham,Crystal Palace,1,2,A,E0_2019.csv
Arsenal,Bournemouth,1,0,H,E0_2019.csv
Man City,Wolves,0,2,A,E0_2019.csv
Southampton,Chelsea,1,4,A,E0_2019.csv
Newcastle,Man United,1,0,H,E0_2019.csv
Everton,West Ham,2,0,H,E0_2019.csv
Aston Villa,Brighton,2,1,H,E0_2019.csv
Bournemouth,Norwich,0,0,D,E0_2019.csv
Chelsea,Newcastle,1,0,H,E0_2019.csv
Leicester,Burnley,2,1,H,E0_2019.csv
Tottenham,Watford,1,1,D,E0_2019.csv
Wolves,Southampton,1,1,D,E0_2019.csv
Crystal Palace,Man City,0,2,A,E0_2019.csv
Man United,Liverpool,1,1,D,E0_2019.csv
Sheffield United,Arsenal,1,0,H,E0_2019.csv
